timestamp,iso_timestamp,raw_line,timestamp,device,type,code,value
1762064952.7896614,2025-11-02T15:29:12.789661,[   21385.700468] /dev/input/event4: 0000 0000 00000000,21385.700468,/dev/input/event4,0000,0000,00000000
1762064952.8053727,2025-11-02T15:29:12.805373,[   21385.708687] /dev/input/event4: 0003 0035 00000386,21385.708687,/dev/input/event4,0003,0035,00000386
1762064952.8207982,2025-11-02T15:29:12.820798,[   21385.708687] /dev/input/event4: 0003 0036 000004f2,21385.708687,/dev/input/event4,0003,0036,000004f2
1762064952.835942,2025-11-02T15:29:12.835942,[   21385.708687] /dev/input/event4: 0003 0030 00000008,21385.708687,/dev/input/event4,0003,0030,00000008
1762064952.851549,2025-11-02T15:29:12.851549,[   21385.708687] /dev/input/event4: 0000 0000 00000000,21385.708687,/dev/input/event4,0000,0000,00000000
1762064952.8668573,2025-11-02T15:29:12.866857,[   21385.717131] /dev/input/event4: 0003 0035 00000398,21385.717131,/dev/input/event4,0003,0035,00000398
1762064952.8825948,2025-11-02T15:29:12.882595,[   21385.717131] /dev/input/event4: 0003 0036 000004ea,21385.717131,/dev/input/event4,0003,0036,000004ea
1762064952.898491,2025-11-02T15:29:12.898491,[   21385.717131] /dev/input/event4: 0003 0030 00000003,21385.717131,/dev/input/event4,0003,0030,00000003
1762064952.9138038,2025-11-02T15:29:12.913804,[   21385.717131] /dev/input/event4: 0000 0000 00000000,21385.717131,/dev/input/event4,0000,0000,00000000
1762064952.9289587,2025-11-02T15:29:12.928959,[   21385.725156] /dev/input/event4: 0003 0035 000003a7,21385.725156,/dev/input/event4,0003,0035,000003a7
1762064952.944277,2025-11-02T15:29:12.944277,[   21385.725156] /dev/input/event4: 0003 0036 000004e4,21385.725156,/dev/input/event4,0003,0036,000004e4
1762064952.9602995,2025-11-02T15:29:12.960299,[   21385.725156] /dev/input/event4: 0003 0030 00000004,21385.725156,/dev/input/event4,0003,0030,00000004
1762064952.9762983,2025-11-02T15:29:12.976298,[   21385.725156] /dev/input/event4: 0000 0000 00000000,21385.725156,/dev/input/event4,0000,0000,00000000
1762064952.9915342,2025-11-02T15:29:12.991534,[   21385.733431] /dev/input/event4: 0003 0030 00000000,21385.733431,/dev/input/event4,0003,0030,00000000
1762064953.006963,2025-11-02T15:29:13.006963,[   21385.733431] /dev/input/event4: 0003 0039 ffffffff,21385.733431,/dev/input/event4,0003,0039,ffffffff
1762064953.0222676,2025-11-02T15:29:13.022268,[   21385.733431] /dev/input/event4: 0001 014a 00000000,21385.733431,/dev/input/event4,0001,014a,00000000
1762064953.0370474,2025-11-02T15:29:13.037047,[   21385.733431] /dev/input/event4: 0001 0145 00000000,21385.733431,/dev/input/event4,0001,0145,00000000
1762064953.0528243,2025-11-02T15:29:13.052824,[   21385.733431] /dev/input/event4: 0000 0000 00000000,21385.733431,/dev/input/event4,0000,0000,00000000
1762064953.24433,2025-11-02T15:29:13.244330,[   21387.029927] /dev/input/event4: 0003 0039 00000060,21387.029927,/dev/input/event4,0003,0039,00000060
1762064953.2556438,2025-11-02T15:29:13.255644,[   21387.029927] /dev/input/event4: 0003 0035 00000394,21387.029927,/dev/input/event4,0003,0035,00000394
1762064953.2715333,2025-11-02T15:29:13.271533,[   21387.029927] /dev/input/event4: 0003 0036 00000599,21387.029927,/dev/input/event4,0003,0036,00000599
1762064953.2873557,2025-11-02T15:29:13.287356,[   21387.029927] /dev/input/event4: 0003 0030 00000006,21387.029927,/dev/input/event4,0003,0030,00000006
1762064953.3034487,2025-11-02T15:29:13.303449,[   21387.029927] /dev/input/event4: 0001 014a 00000001,21387.029927,/dev/input/event4,0001,014a,00000001
1762064953.318794,2025-11-02T15:29:13.318794,[   21387.029927] /dev/input/event4: 0001 0145 00000001,21387.029927,/dev/input/event4,0001,0145,00000001
1762064953.334389,2025-11-02T15:29:13.334389,[   21387.029927] /dev/input/event4: 0000 0000 00000000,21387.029927,/dev/input/event4,0000,0000,00000000
1762064953.3496234,2025-11-02T15:29:13.349623,[   21387.037518] /dev/input/event4: 0003 0030 00000007,21387.037518,/dev/input/event4,0003,0030,00000007
1762064953.3650477,2025-11-02T15:29:13.365048,[   21387.037518] /dev/input/event4: 0000 0000 00000000,21387.037518,/dev/input/event4,0000,0000,00000000
1762064953.3804135,2025-11-02T15:29:13.380414,[   21387.045609] /dev/input/event4: 0003 0035 00000393,21387.045609,/dev/input/event4,0003,0035,00000393
1762064953.3956504,2025-11-02T15:29:13.395650,[   21387.045609] /dev/input/event4: 0000 0000 00000000,21387.045609,/dev/input/event4,0000,0000,00000000
1762064953.4110653,2025-11-02T15:29:13.411065,[   21387.054154] /dev/input/event4: 0003 0035 00000390,21387.054154,/dev/input/event4,0003,0035,00000390
1762064953.4266696,2025-11-02T15:29:13.426670,[   21387.054154] /dev/input/event4: 0003 0036 0000059a,21387.054154,/dev/input/event4,0003,0036,0000059a
1762064953.4421718,2025-11-02T15:29:13.442172,[   21387.054154] /dev/input/event4: 0003 0030 0000000a,21387.054154,/dev/input/event4,0003,0030,0000000a
1762064953.4574184,2025-11-02T15:29:13.457418,[   21387.054154] /dev/input/event4: 0000 0000 00000000,21387.054154,/dev/input/event4,0000,0000,00000000
1762064953.4725637,2025-11-02T15:29:13.472564,[   21387.062329] /dev/input/event4: 0003 0035 00000384,21387.062329,/dev/input/event4,0003,0035,00000384
1762064953.4878302,2025-11-02T15:29:13.487830,[   21387.062329] /dev/input/event4: 0003 0036 0000059c,21387.062329,/dev/input/event4,0003,0036,0000059c
1762064953.5036922,2025-11-02T15:29:13.503692,[   21387.062329] /dev/input/event4: 0003 0030 0000000b,21387.062329,/dev/input/event4,0003,0030,0000000b
1762064953.5190928,2025-11-02T15:29:13.519093,[   21387.062329] /dev/input/event4: 0000 0000 00000000,21387.062329,/dev/input/event4,0000,0000,00000000
1762064953.534706,2025-11-02T15:29:13.534706,[   21387.070880] /dev/input/event4: 0003 0035 00000368,21387.07088,/dev/input/event4,0003,0035,00000368
1762064953.549846,2025-11-02T15:29:13.549846,[   21387.070880] /dev/input/event4: 0003 0036 000005a1,21387.07088,/dev/input/event4,0003,0036,000005a1
1762064953.565082,2025-11-02T15:29:13.565082,[   21387.070880] /dev/input/event4: 0003 0030 0000000c,21387.07088,/dev/input/event4,0003,0030,0000000c
1762064953.5804203,2025-11-02T15:29:13.580420,[   21387.070880] /dev/input/event4: 0000 0000 00000000,21387.07088,/dev/input/event4,0000,0000,00000000
1762064953.5962634,2025-11-02T15:29:13.596263,[   21387.079070] /dev/input/event4: 0003 0035 0000033c,21387.07907,/dev/input/event4,0003,0035,0000033c
1762064953.6119554,2025-11-02T15:29:13.611955,[   21387.079070] /dev/input/event4: 0003 0036 000005a8,21387.07907,/dev/input/event4,0003,0036,000005a8
1762064953.6271222,2025-11-02T15:29:13.627122,[   21387.079070] /dev/input/event4: 0000 0000 00000000,21387.07907,/dev/input/event4,0000,0000,00000000
1762064953.6424809,2025-11-02T15:29:13.642481,[   21387.087610] /dev/input/event4: 0003 0035 00000309,21387.08761,/dev/input/event4,0003,0035,00000309
1762064953.6577437,2025-11-02T15:29:13.657744,[   21387.087610] /dev/input/event4: 0003 0036 000005b1,21387.08761,/dev/input/event4,0003,0036,000005b1
1762064953.673043,2025-11-02T15:29:13.673043,[   21387.087610] /dev/input/event4: 0000 0000 00000000,21387.08761,/dev/input/event4,0000,0000,00000000
1762064953.689102,2025-11-02T15:29:13.689102,[   21387.095807] /dev/input/event4: 0003 0035 000002d3,21387.095807,/dev/input/event4,0003,0035,000002d3
1762064953.7042148,2025-11-02T15:29:13.704215,[   21387.095807] /dev/input/event4: 0003 0036 000005ba,21387.095807,/dev/input/event4,0003,0036,000005ba
1762064953.72034,2025-11-02T15:29:13.720340,[   21387.095807] /dev/input/event4: 0003 0030 0000000b,21387.095807,/dev/input/event4,0003,0030,0000000b
1762064953.7359385,2025-11-02T15:29:13.735939,[   21387.095807] /dev/input/event4: 0000 0000 00000000,21387.095807,/dev/input/event4,0000,0000,00000000
1762064953.7511704,2025-11-02T15:29:13.751170,[   21387.104335] /dev/input/event4: 0003 0035 000002a0,21387.104335,/dev/input/event4,0003,0035,000002a0
1762064953.7669814,2025-11-02T15:29:13.766981,[   21387.104335] /dev/input/event4: 0003 0036 000005c4,21387.104335,/dev/input/event4,0003,0036,000005c4
1762064953.7820804,2025-11-02T15:29:13.782080,[   21387.104335] /dev/input/event4: 0003 0030 0000000e,21387.104335,/dev/input/event4,0003,0030,0000000e
1762064953.7975793,2025-11-02T15:29:13.797579,[   21387.104335] /dev/input/event4: 0000 0000 00000000,21387.104335,/dev/input/event4,0000,0000,00000000
1762064953.8136415,2025-11-02T15:29:13.813642,[   21387.112515] /dev/input/event4: 0003 0035 0000027a,21387.112515,/dev/input/event4,0003,0035,0000027a
1762064953.8294334,2025-11-02T15:29:13.829433,[   21387.112515] /dev/input/event4: 0003 0036 000005cc,21387.112515,/dev/input/event4,0003,0036,000005cc
1762064953.8447387,2025-11-02T15:29:13.844739,[   21387.112515] /dev/input/event4: 0003 0030 0000000d,21387.112515,/dev/input/event4,0003,0030,0000000d
1762064953.8604233,2025-11-02T15:29:13.860423,[   21387.112515] /dev/input/event4: 0000 0000 00000000,21387.112515,/dev/input/event4,0000,0000,00000000
1762064953.8757343,2025-11-02T15:29:13.875734,[   21387.121054] /dev/input/event4: 0003 0035 00000258,21387.121054,/dev/input/event4,0003,0035,00000258
1762064953.8906105,2025-11-02T15:29:13.890610,[   21387.121054] /dev/input/event4: 0003 0036 000005d4,21387.121054,/dev/input/event4,0003,0036,000005d4
1762064953.9063444,2025-11-02T15:29:13.906344,[   21387.121054] /dev/input/event4: 0000 0000 00000000,21387.121054,/dev/input/event4,0000,0000,00000000
1762064953.9215648,2025-11-02T15:29:13.921565,[   21387.129205] /dev/input/event4: 0003 0035 0000023f,21387.129205,/dev/input/event4,0003,0035,0000023f
1762064953.9375465,2025-11-02T15:29:13.937546,[   21387.129205] /dev/input/event4: 0003 0036 000005dc,21387.129205,/dev/input/event4,0003,0036,000005dc
1762064953.9522426,2025-11-02T15:29:13.952243,[   21387.129205] /dev/input/event4: 0003 0030 0000000a,21387.129205,/dev/input/event4,0003,0030,0000000a
1762064953.9678452,2025-11-02T15:29:13.967845,[   21387.129205] /dev/input/event4: 0000 0000 00000000,21387.129205,/dev/input/event4,0000,0000,00000000
1762064953.9830308,2025-11-02T15:29:13.983031,[   21387.137712] /dev/input/event4: 0003 0035 00000227,21387.137712,/dev/input/event4,0003,0035,00000227
1762064953.9979186,2025-11-02T15:29:13.997919,[   21387.137712] /dev/input/event4: 0003 0036 000005e1,21387.137712,/dev/input/event4,0003,0036,000005e1
1762064954.0137174,2025-11-02T15:29:14.013717,[   21387.137712] /dev/input/event4: 0003 0030 00000004,21387.137712,/dev/input/event4,0003,0030,00000004
1762064954.0290487,2025-11-02T15:29:14.029049,[   21387.137712] /dev/input/event4: 0000 0000 00000000,21387.137712,/dev/input/event4,0000,0000,00000000
1762064954.0442417,2025-11-02T15:29:14.044242,[   21387.145746] /dev/input/event4: 0003 0035 00000218,21387.145746,/dev/input/event4,0003,0035,00000218
1762064954.059832,2025-11-02T15:29:14.059832,[   21387.145746] /dev/input/event4: 0003 0036 000005e4,21387.145746,/dev/input/event4,0003,0036,000005e4
1762064954.0751104,2025-11-02T15:29:14.075110,[   21387.145746] /dev/input/event4: 0003 0030 00000005,21387.145746,/dev/input/event4,0003,0030,00000005
1762064954.090859,2025-11-02T15:29:14.090859,[   21387.145746] /dev/input/event4: 0000 0000 00000000,21387.145746,/dev/input/event4,0000,0000,00000000
